# P. ulysses data from Fig. 8 of Vukusic et al., Appl. Opt., 2001.
326.54	13.69
331.82	13.97
336.49	14.29
341.46	14.74
346.28	15.34
351.41	16.18
355.92	17.13
361.52	18.18
366.18	19.41
371.15	20.74
375.97	22.18
381.10	23.89
386.08	25.75
390.90	28.17
396.34	30.91
401.32	33.78
406.45	37.15
411.42	40.65
416.08	44.05
421.06	46.93
426.35	49.14
431.01	51.45
436.22	52.99
440.96	54.57
446.56	55.55
451.06	56.19
456.35	56.43
461.79	56.29
466.61	56.15
471.43	55.90
476.09	55.31
481.69	54.75
486.35	54.08
491.02	53.38
496.30	52.54
500.97	51.56
506.10	50.40
510.92	48.96
515.89	47.25
520.87	45.14
525.84	42.58
530.82	39.36
535.79	35.82
541.23	32.03
546.05	28.17
551.18	24.35
555.69	20.81
560.82	17.41
565.95	14.64
570.93	12.22
575.75	10.40
580.72	8.99
585.70	7.98
590.83	7.28
596.11	6.75
600.62	6.40
605.75	6.19
610.42	5.98
615.86	5.66
620.68	5.52
625.81	5.38
631.09	5.21
636.07	5.10
641.20	5.10
645.86	4.96
650.99	4.89
655.81	4.86
660.48	5.00
665.92	5.00
670.74	5.03
675.87	5.10
681.00	5.10
685.51	5.21
690.79	5.24
695.77	5.35
700.59	5.45
705.72	5.63
710.69	5.66
715.98	5.84
720.95	5.91
